time,action,ritc_qty,ritc_action,bull_qty,bull_action,bear_qty,bear_action,profit_cad
2025-09-16T20:41:54-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,71.74
2025-09-16T20:42:00-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,66.00
2025-09-16T20:42:00-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,186.00
2025-09-16T20:42:00-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,76.00
2025-09-16T20:42:01-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,82.43
2025-09-16T20:42:30-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,78.95
2025-09-16T20:42:30-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,68.95
2025-09-16T20:42:32-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,119.91
2025-09-16T20:42:33-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,162.32
2025-09-16T20:42:33-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,121.03
2025-09-16T20:42:36-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,139.66
2025-09-16T20:42:45-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,134.70
2025-09-16T20:42:45-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,155.84
2025-09-16T20:42:45-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,155.84
2025-09-16T20:42:59-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,85.55
2025-09-16T20:42:59-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,85.55
2025-09-16T20:42:59-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,85.55
2025-09-16T20:43:00-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,128.49
2025-09-16T20:43:19-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,132.02
2025-09-16T20:43:19-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,224.41
2025-09-16T20:43:20-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,224.41
2025-09-16T20:43:21-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,109.64
2025-09-16T20:43:21-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,76.25
2025-09-16T20:43:21-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,76.25
2025-09-16T20:43:22-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,76.25
2025-09-16T20:43:25-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,107.67
2025-09-16T20:43:26-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,67.67
2025-09-16T20:43:27-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,218.13
2025-09-16T20:43:28-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,138.13
2025-09-16T20:43:30-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,308.14
2025-09-16T20:43:30-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,344.43
2025-09-16T20:43:30-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,344.43
